,time,customer_no,name,location,hour
0,07:00:00,1,Cathy Medina,fruit,7
1,07:00:00,2,Regina Padilla,dairy,7
2,07:01:00,1,Cathy Medina,checkout,7
3,07:02:00,3,Billie Macomber,dairy,7
4,07:02:00,4,Elsie Baylor,spices,7
5,07:02:00,5,Susan Byrd,dairy,7
6,07:02:00,6,Christine Thompson,spices,7
7,07:02:00,7,Andrew Donart,drinks,7
8,07:02:00,8,Sandra Gebhard,dairy,7
9,07:03:00,4,Elsie Baylor,fruit,7
10,07:03:00,6,Christine Thompson,dairy,7
11,07:04:00,3,Billie Macomber,spices,7
12,07:04:00,4,Elsie Baylor,spices,7
13,07:05:00,2,Regina Padilla,fruit,7
14,07:05:00,3,Billie Macomber,dairy,7
15,07:05:00,4,Elsie Baylor,drinks,7
16,07:07:00,2,Regina Padilla,checkout,7
17,07:07:00,3,Billie Macomber,checkout,7
18,07:07:00,4,Elsie Baylor,checkout,7
19,07:07:00,7,Andrew Donart,spices,7
20,07:08:00,6,Christine Thompson,drinks,7
21,07:08:00,7,Andrew Donart,dairy,7
22,07:09:00,6,Christine Thompson,checkout,7
23,07:09:00,7,Andrew Donart,fruit,7
24,07:09:00,9,George Day,fruit,7
25,07:09:00,10,Lucinda Copes,fruit,7
26,07:09:00,11,Martha Ramirez,dairy,7
27,07:09:00,12,Yvonne Watson,drinks,7
28,07:10:00,5,Susan Byrd,checkout,7
29,07:10:00,8,Sandra Gebhard,drinks,7
30,07:10:00,9,George Day,checkout,7
31,07:10:00,10,Lucinda Copes,dairy,7
32,07:10:00,12,Yvonne Watson,spices,7
33,07:10:00,13,Philip Aguirre,fruit,7
34,07:10:00,14,Larry Prideaux,dairy,7
35,07:11:00,8,Sandra Gebhard,checkout,7
36,07:11:00,12,Yvonne Watson,drinks,7
37,07:12:00,11,Martha Ramirez,fruit,7
38,07:12:00,12,Yvonne Watson,spices,7
39,07:14:00,7,Andrew Donart,checkout,7
40,07:14:00,15,Robert Seller,fruit,7
41,07:14:00,16,Angel Williams,dairy,7
42,07:15:00,12,Yvonne Watson,fruit,7
43,07:15:00,13,Philip Aguirre,dairy,7
44,07:15:00,14,Larry Prideaux,spices,7
45,07:15:00,15,Robert Seller,checkout,7
46,07:15:00,17,Karen Thompson,dairy,7
47,07:15:00,18,Denise Greene,fruit,7
48,07:15:00,19,Christopher Best,dairy,7
49,07:15:00,20,Juanita Schrack,fruit,7
50,07:16:00,14,Larry Prideaux,dairy,7
51,07:17:00,11,Martha Ramirez,drinks,7
52,07:17:00,14,Larry Prideaux,fruit,7
53,07:17:00,20,Juanita Schrack,checkout,7
54,07:17:00,21,Lou Smith,dairy,7
55,07:17:00,22,Leslie Richards,fruit,7
56,07:17:00,23,Danny Johnson,fruit,7
57,07:17:00,24,Amy Guy,spices,7
58,07:17:00,25,Morgan Thomason,dairy,7
59,07:18:00,14,Larry Prideaux,drinks,7
60,07:18:00,22,Leslie Richards,checkout,7
61,07:18:00,24,Amy Guy,checkout,7
